trace_id,fault_type,original_model,probe_model,task_id,family,difficulty,fault_prefix_index,orig_regime_N2,probe_p0_N3,probe_pk_N3,probe_regime_N3,agreement_with_original,status,error,elapsed_sec
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,soft_date_ambiguity,llama3.1:8b,qwen2.5:14b,calendar_medium_00,calendar,medium,3,nontrivial_delta_mfp,0.0,0.0,unstable,0,ok,,50.9
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,soft_date_ambiguity,qwen2.5:7b,qwen2.5:14b,calendar_hard_03,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,58.2
qwen2.5:7b::tool_compiler::inventory_medium_00::400001::soft_date_ambiguity,soft_date_ambiguity,qwen2.5:7b,qwen2.5:14b,inventory_medium_00,inventory,medium,2,unstable,0.0,0.0,unstable,1,ok,,23.7
qwen2.5:7b::tool_compiler::calendar_hard_03::400002::soft_date_ambiguity,soft_date_ambiguity,qwen2.5:7b,qwen2.5:14b,calendar_hard_03,calendar,hard,2,unstable,0.0,1.0,nontrivial_delta_mfp,0,ok,,43.4
qwen2.5:7b::tool_compiler::calendar_hard_03::400013::soft_missing_field,soft_missing_field,qwen2.5:7b,qwen2.5:14b,calendar_hard_03,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,79.9
qwen2.5:7b::tool_compiler::calendar_hard_02::400019::soft_missing_field,soft_missing_field,qwen2.5:7b,qwen2.5:14b,calendar_hard_02,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,58.4
llama3.1:8b::tool_compiler::calendar_medium_00::400025::soft_missing_field,soft_missing_field,llama3.1:8b,qwen2.5:14b,calendar_medium_00,calendar,medium,3,nontrivial_delta_mfp,0.0,0.0,unstable,0,ok,,53.8
llama3.1:8b::tool_compiler::calendar_medium_00::400031::soft_missing_field,soft_missing_field,llama3.1:8b,qwen2.5:14b,calendar_medium_00,calendar,medium,3,prefix0,0.0,0.0,unstable,0,ok,,36.2
qwen2.5:7b::tool_compiler::calendar_hard_03::400014::soft_precondition_ambiguity,soft_precondition_ambiguity,qwen2.5:7b,qwen2.5:14b,calendar_hard_03,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,59.6
qwen2.5:7b::tool_compiler::calendar_hard_02::400020::soft_precondition_ambiguity,soft_precondition_ambiguity,qwen2.5:7b,qwen2.5:14b,calendar_hard_02,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,58.3
llama3.1:8b::tool_compiler::calendar_hard_00::400050::soft_precondition_ambiguity,soft_precondition_ambiguity,llama3.1:8b,qwen2.5:14b,calendar_hard_00,calendar,hard,7,prefix0,0.0,1.0,nontrivial_delta_mfp,0,ok,,128.7
llama3.1:8b::tool_compiler::calendar_hard_00::400056::soft_precondition_ambiguity,soft_precondition_ambiguity,llama3.1:8b,qwen2.5:14b,calendar_hard_00,calendar,hard,7,prefix0,0.0,1.0,nontrivial_delta_mfp,0,ok,,127.2
qwen2.5:7b::tool_compiler::calendar_hard_03::400015::soft_stale_memory,soft_stale_memory,qwen2.5:7b,qwen2.5:14b,calendar_hard_03,calendar,hard,2,unstable,0.0,0.0,unstable,1,ok,,66.4
llama3.1:8b::tool_compiler::calendar_medium_00::400027::soft_stale_memory,soft_stale_memory,llama3.1:8b,qwen2.5:14b,calendar_medium_00,calendar,medium,3,nontrivial_delta_mfp,0.0,0.0,unstable,0,ok,,45.3
llama3.1:8b::tool_compiler::calendar_hard_00::400051::soft_stale_memory,soft_stale_memory,llama3.1:8b,qwen2.5:14b,calendar_hard_00,calendar,hard,7,prefix0,0.0,1.0,nontrivial_delta_mfp,0,ok,,125.5
llama3.1:8b::tool_compiler::calendar_hard_00::400057::soft_stale_memory,soft_stale_memory,llama3.1:8b,qwen2.5:14b,calendar_hard_00,calendar,hard,7,prefix0,0.0,1.0,nontrivial_delta_mfp,0,ok,,124.2
