trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category_N5,delta_mfp_index_N5,p0_failure_rate_N5,pk_failure_rate_N5,fault_to_mfp_distance_N5,status,error
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,nontrivial_delta_mfp,3,0.4,0.8,0,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_untrusted_instruction,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_wrong_id,2,unstable,,0.0,0.4,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::400001::soft_date_ambiguity,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_date_ambiguity,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400002::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,0.19999999999999996,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_02::400003::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_date_ambiguity,2,unstable,,0.0,0.0,,ok,
llama3.1:8b::tool_compiler::calendar_medium_00::400004::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,nontrivial_delta_mfp,3,0.4,0.8,0,ok,
llama3.1:8b::tool_compiler::calendar_medium_00::400005::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,nontrivial_delta_mfp,3,0.19999999999999996,0.6,0,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::400006::soft_date_ambiguity,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_date_ambiguity,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::400010::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_untrusted_instruction,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::inventory_medium_00::400011::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_wrong_id,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400012::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400013::soft_missing_field,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_missing_field,2,unstable,,0.0,0.19999999999999996,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400014::soft_precondition_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_precondition_ambiguity,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400015::soft_stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_stale_memory,2,unstable,,0.0,0.0,,ok,
qwen2.5:7b::tool_compiler::calendar_hard_03::400016::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_untrusted_instruction,2,unstable,,0.0,0.0,,ok,
