trace_id,fault_type,family,difficulty,fault_prefix_index,mfp_category_N2,p0_N2,pk_N2,mfp_category_N5,p0_N5,pk_N5,agreement,transition,reason,status
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,nontrivial_delta_mfp,0.000,1.000,nontrivial_delta_mfp,0.400,0.800,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.40, pk=0.80)",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,soft_untrusted_instruction,inventory,medium,2,nontrivial_delta_mfp,0.000,1.000,unstable,0.000,0.000,0,nontrivial_delta_mfp->unstable,"nontrivial_delta_mfp -> unstable: at N=5 no prefix reaches p_fail=0.6 (p0=0.00, pk=0.00), pk-p0=+0.00: replay variance dominates; there is no stable failing prefix",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,soft_wrong_id,inventory,medium,2,unstable,0.000,0.000,unstable,0.000,0.400,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.40)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::400001::soft_date_ambiguity,soft_date_ambiguity,inventory,medium,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400002::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,2,unstable,0.000,0.000,unstable,0.200,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.20, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400003::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400004::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,unstable,0.500,0.500,nontrivial_delta_mfp,0.400,0.800,0,unstable->nontrivial_delta_mfp,"unstable -> nontrivial_delta_mfp: at N=5 pk=0.80 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.40: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400005::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,prefix0,1.000,1.000,nontrivial_delta_mfp,0.200,0.600,0,prefix0->nontrivial_delta_mfp,"prefix0 -> nontrivial_delta_mfp: at N=5 pk=0.60 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.40: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::400006::soft_date_ambiguity,soft_date_ambiguity,inventory,medium,2,nontrivial_delta_mfp,0.000,1.000,unstable,0.000,0.000,0,nontrivial_delta_mfp->unstable,"nontrivial_delta_mfp -> unstable: at N=5 no prefix reaches p_fail=0.6 (p0=0.00, pk=0.00), pk-p0=+0.00: replay variance dominates; there is no stable failing prefix",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::400010::soft_untrusted_instruction,soft_untrusted_instruction,inventory,medium,2,unstable,0.000,0.500,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::inventory_medium_00::400011::soft_wrong_id,soft_wrong_id,inventory,medium,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400012::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400013::soft_missing_field,soft_missing_field,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.200,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.20)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400014::soft_precondition_ambiguity,soft_precondition_ambiguity,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400015::soft_stale_memory,soft_stale_memory,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400016::soft_untrusted_instruction,soft_untrusted_instruction,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_03::400017::soft_wrong_id,soft_wrong_id,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400018::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,2,unstable,0.000,0.500,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400019::soft_missing_field,soft_missing_field,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400020::soft_precondition_ambiguity,soft_precondition_ambiguity,calendar,hard,2,unstable,0.000,0.500,unstable,0.000,0.200,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.20)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400022::soft_untrusted_instruction,soft_untrusted_instruction,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
qwen2.5:7b::tool_compiler::calendar_hard_02::400023::soft_wrong_id,soft_wrong_id,calendar,hard,2,unstable,0.000,0.000,unstable,0.000,0.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.00)",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400024::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,prefix0,1.000,0.500,nontrivial_delta_mfp,0.200,0.600,0,prefix0->nontrivial_delta_mfp,"prefix0 -> nontrivial_delta_mfp: at N=5 pk=0.60 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.40: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400025::soft_missing_field,soft_missing_field,calendar,medium,3,nontrivial_delta_mfp,0.500,1.000,prefix0,0.800,0.800,0,nontrivial_delta_mfp->prefix0,"nontrivial_delta_mfp -> prefix0: at N=5 p0=0.80 >= p_fail=0.6: the failure reproduces from prefix 0 (before the perturbation), so it is not attributable to the perturbation prefix",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400027::soft_stale_memory,soft_stale_memory,calendar,medium,3,nontrivial_delta_mfp,0.500,1.000,prefix0,0.800,1.000,0,nontrivial_delta_mfp->prefix0,"nontrivial_delta_mfp -> prefix0: at N=5 p0=0.80 >= p_fail=0.6: the failure reproduces from prefix 0 (before the perturbation), so it is not attributable to the perturbation prefix",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400029::soft_wrong_id,soft_wrong_id,calendar,medium,3,nontrivial_delta_mfp,0.500,1.000,prefix0,0.600,0.800,0,nontrivial_delta_mfp->prefix0,"nontrivial_delta_mfp -> prefix0: at N=5 p0=0.60 >= p_fail=0.6: the failure reproduces from prefix 0 (before the perturbation), so it is not attributable to the perturbation prefix",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400030::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,nontrivial_delta_mfp,0.000,1.000,prefix0,0.600,0.600,0,nontrivial_delta_mfp->prefix0,"nontrivial_delta_mfp -> prefix0: at N=5 p0=0.60 >= p_fail=0.6: the failure reproduces from prefix 0 (before the perturbation), so it is not attributable to the perturbation prefix",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400031::soft_missing_field,soft_missing_field,calendar,medium,3,prefix0,1.000,1.000,prefix0,0.800,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.80, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_medium_00::400034::soft_untrusted_instruction,soft_untrusted_instruction,calendar,medium,3,unstable,0.500,0.000,prefix0,0.800,0.600,0,unstable->prefix0,"unstable -> prefix0: at N=5 p0=0.80 >= p_fail=0.6: the failure reproduces from prefix 0 (before the perturbation), so it is not attributable to the perturbation prefix",ok
llama3.1:8b::tool_compiler::calendar_medium_01::400036::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,unstable,0.000,0.500,unstable,0.000,0.400,1,same,"stable: same regime at N=2 and N=5 (N5 p0=0.00, pk=0.40)",ok
llama3.1:8b::tool_compiler::calendar_medium_01::400042::soft_date_ambiguity,soft_date_ambiguity,calendar,medium,3,unstable,0.000,0.500,nontrivial_delta_mfp,0.000,0.600,0,unstable->nontrivial_delta_mfp,"unstable -> nontrivial_delta_mfp: at N=5 pk=0.60 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.60: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
llama3.1:8b::tool_compiler::calendar_medium_01::400046::soft_untrusted_instruction,soft_untrusted_instruction,calendar,medium,3,prefix0,1.000,0.000,nontrivial_delta_mfp,0.200,0.600,0,prefix0->nontrivial_delta_mfp,"prefix0 -> nontrivial_delta_mfp: at N=5 pk=0.60 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.40: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
llama3.1:8b::tool_compiler::calendar_medium_01::400047::soft_wrong_id,soft_wrong_id,calendar,medium,3,unstable,0.500,0.000,nontrivial_delta_mfp,0.000,0.600,0,unstable->nontrivial_delta_mfp,"unstable -> nontrivial_delta_mfp: at N=5 pk=0.60 >= p_fail=0.6 and pk-p0 >= delta=0.3, pk-p0=+0.60: the perturbation prefix stabilises into a Delta-MFP once replay noise is averaged over 5 samples",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400048::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
